# x_m, y_m, w_tr_right_m, w_tr_left_m,Timestamp
72.92387815760952,-46.56778902449946,1.1,1.1,5.86
72.70846501078229,-46.92272093908756,1.1,1.1,5.88
72.493031114066,-47.27763832875337,1.1,1.1,5.9
72.27757987044254,-47.632543600483984,1.1,1.1,5.92
72.06211451689451,-47.98743949326476,1.1,1.1,5.94
71.84663862240288,-48.34232841408284,1.1,1.1,5.96
71.63115542395028,-48.69721293592443,1.1,1.1,5.98
71.41566840751815,-49.05209554877625,1.1,1.1,6.0
71.20018097608822,-49.40697890862406,1.1,1.1,6.0200000000000005
70.98469644964275,-49.76186542245501,1.1,1.1,6.04
70.76921823116353,-50.11675774625488,1.1,1.1,6.0600000000000005
70.55374964063282,-50.4716582870108,1.1,1.1,6.08
70.33829416403198,-50.82656970070856,1.1,1.1,6.1000000000000005
70.1228552043428,-51.18149439433529,1.1,1.1,6.12
69.90743608154752,-51.53643502387679,1.1,1.1,6.140000000000001
69.69204019862792,-51.89139416231929,1.1,1.1,6.16
69.47667095856582,-52.24637413365036,1.1,1.1,6.18
69.26133176434303,-52.60137775985491,1.1,1.1,6.2
69.04602593594176,-52.95640736492052,1.1,1.1,6.22
68.83075687634384,-53.3114655218334,1.1,1.1,6.24
68.61552798853103,-53.6665548035798,1.1,1.1,6.26
68.40034275848473,-54.021677783145975,1.1,1.1,6.28
68.18520442318761,-54.37683695051859,1.1,1.1,6.3
67.97011223564364,-54.73203205669898,1.1,1.1,6.32
67.75504187698292,-55.08724766376972,1.1,1.1,6.34
67.53996064538039,-55.44246244084488,1.1,1.1,6.36
67.32483559001223,-55.79765538903682,1.1,1.1,6.38
67.10963409205291,-56.152805260459154,1.1,1.1,6.4
66.89432328367829,-56.5078910562242,1.1,1.1,6.42
66.6788705460628,-56.86289152844562,1.1,1.1,6.44
66.46324292838267,-57.21778567823573,1.1,1.1,6.46
66.24740772881285,-57.57255225770816,1.1,1.1,6.48
66.0313322455282,-57.92717026797524,1.1,1.1,6.5
65.81498369370414,-58.28161837815106,1.1,1.1,6.5200000000000005
65.59832920551638,-58.635875672347495,1.1,1.1,6.54
65.38133607913991,-58.98992090267819,1.1,1.1,6.5600000000000005
65.16397152975006,-59.343732904256335,1.1,1.1,6.58
64.94620285552172,-59.69729067819426,1.1,1.1,6.6000000000000005
64.72799718863072,-60.05057297660562,1.1,1.1,6.62
64.50932182725197,-60.40355871760317,1.1,1.1,6.640000000000001
64.2901439865608,-60.75622681929965,1.1,1.1,6.66
64.07043088173258,-61.108556033808725,1.1,1.1,6.68
63.85014981094222,-61.46052536224273,1.1,1.1,6.7
63.629267906365534,-61.81211363971482,1.1,1.1,6.72
63.40775238317783,-62.163299701338254,1.1,1.1,6.74
63.18557062255361,-62.51406238222621,1.1,1.1,6.76
62.962689673669146,-62.86438060049143,1.1,1.1,6.78
62.739076917698846,-63.2142332742467,1.1,1.1,6.8
62.51469956981811,-63.56359923860521,1.1,1.1,6.82
62.289524762202696,-63.91245724568061,1.1,1.1,6.84
62.06350950108261,-64.26077799662963,1.1,1.1,6.86
61.83650803923737,-64.60844803105911,1.1,1.1,6.88
61.60831611475952,-64.95530624683074,1.1,1.1,6.9
61.37872838674735,-65.30119079481018,1.1,1.1,6.92
61.14753984629739,-65.64593990886267,1.1,1.1,6.94
60.914545152507934,-65.9893917398539,1.1,1.1,6.96
60.67953937947508,-66.3313845216491,1.1,1.1,6.98
60.44246276751846,-66.67186679452352,1.1,1.1,7.0
60.20400213796446,-67.0113528237265,1.1,1.1,7.0200000000000005
59.96508252086542,-67.35053756454097,1.1,1.1,7.04
59.72662911227281,-67.69011613824895,1.1,1.1,7.0600000000000005
59.48956702523849,-68.0307834171338,1.1,1.1,7.08
59.254821538813445,-68.37323460547715,1.1,1.1,7.1000000000000005
59.02331718505267,-68.71816416056453,1.1,1.1,7.12
58.79555835225834,-69.06590574061133,1.1,1.1,7.140000000000001
58.57088760094692,-69.41579518316993,1.1,1.1,7.16
58.34844829270025,-69.76699734670726,1.1,1.1,7.18
58.12738403809888,-70.11867708969012,1.1,1.1,7.2
57.906838198724685,-70.46999935358504,1.1,1.1,7.22
57.685954385158176,-70.82012891385934,1.1,1.1,7.24
57.46465524181316,-71.16855034326986,1.1,1.1,7.26
57.290139711238254,-71.53413765786581,1.1,1.1,7.28
57.27154805967877,-71.95355068256607,1.1,1.1,7.3
57.41829417978295,-72.35321172191307,1.1,1.1,7.32
57.68230862965812,-72.64929047728701,1.1,1.1,7.34
58.01364177846811,-72.88521696439531,1.1,1.1,7.36
